City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Longitude,Latitude
mponela,16.65,95,21,1.72,MW,1643669418,33.7401,-13.5319
srivardhan,20.04,56,10,2.63,IN,1643669419,73.0167,18.0333
kytmanovo,-12.9,97,100,1.26,RU,1643669419,85.4479,53.4593
hofn,-0.48,88,96,3.8,IS,1643669420,-15.2082,64.2539
butaritari,27.39,79,93,5.82,KI,1643669421,172.7902,3.0707
khatanga,-33.83,100,47,1.24,RU,1643669421,102.5,71.9667
bafq,10.33,33,66,2.32,IR,1643669422,55.4107,31.6128
cabo san lucas,24.43,60,1,2.24,MX,1643669398,-109.9124,22.8909
ponta do sol,18.47,27,35,5.29,PT,1643669424,-17.1,32.6667
puerto ayora,24.19,92,63,0.89,EC,1643669424,-90.3518,-0.7393
katsuura,4.41,44,87,2.33,JP,1643669425,140.3,35.1333
kapaa,24.08,71,0,1.34,US,1643669426,-159.319,22.0752
nyurba,-35.14,100,98,0.8,RU,1643669427,118.3319,63.2842
dhule,18.97,35,0,2.64,IN,1643669428,74.7833,20.9
jamestown,-2.0,50,0,2.06,US,1643669142,-79.2353,42.097
souillac,27.21,74,75,8.75,MU,1643669429,57.5167,-20.5167
hilo,26.04,55,40,4.63,US,1643669430,-155.09,19.7297
praia da vitoria,15.14,88,75,8.03,PT,1643669431,-27.0667,38.7333
bengkulu,24.03,87,100,1.67,ID,1643669359,102.2655,-3.8004
punta arenas,8.06,81,40,14.4,CL,1643669432,-70.9167,-53.15
leningradskiy,-27.41,95,36,4.15,RU,1643669433,178.4167,69.3833
busselton,15.58,59,20,6.93,AU,1643669434,115.3333,-33.65
atuona,25.84,75,16,8.58,PF,1643669435,-139.0333,-9.8
bethel,-4.87,90,65,0.33,US,1643669242,-73.414,41.3712
narsaq,-5.63,92,100,2.34,GL,1643669436,-46.05,60.9167
georgetown,25.02,88,20,0.0,MY,1643669360,100.3354,5.4112
vao,25.38,85,100,4.3,NC,1643669437,167.4833,-22.6667
ribeira grande,15.56,74,15,6.77,PT,1643669438,-28.7,38.5167
albany,-7.18,57,7,0.62,US,1643669335,-73.9662,42.6001
hermanus,23.78,85,12,3.85,ZA,1643669439,19.2345,-34.4187
castro,18.54,87,9,1.61,BR,1643669440,-50.0119,-24.7911
nanortalik,-2.88,80,100,9.26,GL,1643669441,-45.2371,60.1432
lebu,15.22,72,0,8.04,CL,1643669290,-73.65,-37.6167
cocal,21.91,93,30,0.72,BR,1643669443,-49.35,-28.6167
new norfolk,24.66,56,25,0.89,AU,1643669444,147.0587,-42.7826
cidreira,23.24,84,28,3.11,BR,1643669445,-50.2056,-30.1811
norman wells,-14.98,72,75,7.2,CA,1643669446,-126.8329,65.282
benjamin aceval,36.08,16,0,2.71,PY,1643669447,-57.5667,-24.9667
los llanos de aridane,13.4,62,0,2.24,ES,1643669448,-17.9182,28.6585
murgab,1.93,75,0,2.06,TM,1643669449,61.9714,37.4966
mataura,23.04,54,63,0.96,NZ,1643669450,168.8643,-46.1927
dungarvan,9.21,97,98,5.81,IE,1643669450,-7.6253,52.0881
kahului,26.34,63,40,4.12,US,1643669451,-156.47,20.8947
jaleswar,12.01,70,0,0.56,NP,1643669452,85.8008,26.6471
bredasdorp,21.62,88,63,2.06,ZA,1643669314,20.0403,-34.5322
thompson,-16.91,78,100,3.6,CA,1643669454,-97.8558,55.7435
saint-philippe,25.77,80,98,6.36,RE,1643669455,55.7679,-21.3585
kokopo,27.61,75,98,3.39,PG,1643669456,152.2633,-4.352
irbil,3.9,87,0,1.03,IQ,1643669457,44.0106,36.1926
hithadhoo,27.89,74,22,4.18,MV,1643669458,73.0833,-0.6
nhamunda,24.16,91,49,1.35,BR,1643669459,-56.7131,-2.1861
bose,4.51,41,1,2.81,IT,1643669460,8.0137,45.4612
anadyr,-21.41,91,100,0.55,RU,1643669460,177.4833,64.75
mahebourg,27.16,74,75,8.75,MU,1643669461,57.7,-20.4081
haines junction,-23.03,59,94,0.51,CA,1643669462,-137.5108,60.7522
aksarka,-28.74,100,89,2.39,RU,1643669463,67.7975,66.5606
rikitea,25.39,66,68,1.65,PF,1643669313,-134.9692,-23.1203
trelew,27.01,14,28,6.27,AR,1643669464,-65.3051,-43.249
kodinsk,-19.92,99,97,0.78,RU,1643669464,99.1844,58.6881
henties bay,21.59,79,100,2.51,NA,1643669465,14.2845,-22.116
luis correia,29.0,84,20,3.6,BR,1643669418,-41.6669,-2.8792
nabire,24.5,86,100,0.8,ID,1643669467,135.4833,-3.3667
santa cruz,31.7,58,40,5.66,BO,1643669247,-63.1667,-17.8
coihaique,15.97,51,75,4.63,CL,1643669468,-72.0662,-45.5752
ilulissat,-12.99,66,100,9.26,GL,1643669230,-51.1,69.2167
carnarvon,25.04,78,0,5.14,AU,1643669458,113.6333,-24.8667
ahuimanu,25.47,62,0,1.79,US,1643669470,-157.8378,21.4447
quelimane,25.51,83,0,0.0,MZ,1643669470,36.8883,-17.8786
arkhangelsk,-8.94,92,40,3.0,RU,1643669471,40.5433,64.5401
bambous virieux,27.14,74,75,8.75,MU,1643669453,57.7575,-20.3428
dakar,22.07,83,99,4.12,SN,1643669232,-17.4441,14.6937
chongwe,16.79,97,14,1.22,ZM,1643669473,28.682,-15.3292
srednekolymsk,-25.97,93,100,1.77,RU,1643669474,153.6833,67.45
kavieng,27.16,79,100,3.77,PG,1643669475,150.7967,-2.5744
chamba,7.12,64,11,3.71,IN,1643669475,76.1333,32.5667
hasaki,-0.78,43,74,2.78,JP,1643669476,140.8333,35.7333
nizwa,18.78,46,0,1.46,OM,1643669477,57.5333,22.9333
vaini,29.09,79,40,3.6,TO,1643669478,-175.2,-21.2
dikson,-19.64,91,100,8.03,RU,1643669479,80.5464,73.5069
arraial do cabo,24.98,94,75,2.06,BR,1643669480,-42.0278,-22.9661
comodoro rivadavia,24.92,22,39,12.86,AR,1643669481,-67.5,-45.8667
ushuaia,5.81,81,40,14.4,AR,1643669481,-68.3,-54.8
englehart,-14.69,72,100,1.54,CA,1643669440,-79.8664,47.8169
pandakan,24.72,87,100,1.54,ID,1643669483,112.6875,-7.6527
karratha,28.57,78,90,4.24,AU,1643669484,116.8463,-20.7377
geraldton,20.23,64,8,6.17,AU,1643669484,114.6,-28.7667
minab,17.18,94,0,0.0,IR,1643669485,57.0801,27.1467
port-gentil,27.16,79,48,3.87,GA,1643669486,8.7815,-0.7193
vagamo,-11.6,96,81,1.26,NO,1643669486,9.0967,61.8751
avarua,23.03,94,75,3.6,CK,1643669315,-159.775,-21.2078
banda aceh,24.91,84,54,3.51,ID,1643669488,95.3222,5.5577
bluff,23.22,79,28,0.92,NZ,1643669489,168.3333,-46.6
disa,15.96,80,0,1.44,IN,1643669490,72.1667,24.25
berdigestyakh,-29.79,99,99,1.78,RU,1643669491,126.6992,62.0989
batagay,-32.61,98,100,0.87,RU,1643669491,134.6333,67.6333
taketa,-0.45,74,46,2.29,JP,1643669492,131.3785,32.9652
saldanha,21.03,70,16,2.57,ZA,1643669493,17.9442,-33.0117
lompoc,15.62,71,0,4.63,US,1643669486,-120.4579,34.6391
dzilam gonzalez,24.02,55,41,4.43,MX,1643669494,-88.9333,21.2833
nikolskoye,-4.36,96,100,2.27,RU,1643669495,30.7861,59.7035
barra patuca,23.67,67,32,2.66,HN,1643669495,-84.2833,15.8
wajid,23.53,70,41,6.73,SO,1643669384,43.2471,3.8093
maunabo,24.23,82,4,1.12,PR,1643669497,-65.8993,18.0072
bonavista,-3.0,70,63,6.84,CA,1643669497,-53.1147,48.6499
koprivnica,-1.35,93,90,1.09,HR,1643669498,16.8275,46.1628
leshukonskoye,-16.36,98,100,1.58,RU,1643669499,45.7622,64.8989
east london,24.99,78,100,1.05,ZA,1643669500,27.9116,-33.0153
hobart,24.98,66,20,5.66,AU,1643669501,147.3294,-42.8794
mumford,25.33,80,73,2.1,GH,1643669501,-0.759,5.2618
humaita,23.75,96,83,0.87,BR,1643669502,-63.0208,-7.5061
vilshofen,1.8,94,100,5.61,DE,1643669503,13.1833,48.6333
sulangan,26.68,80,39,5.09,PH,1643669504,123.7228,11.1373
maningrida,26.44,87,100,8.15,AU,1643669505,134.2667,-12.0667
upernavik,-28.78,99,92,2.86,GL,1643669506,-56.1549,72.7868
cape town,21.89,78,0,2.57,ZA,1643669402,18.4232,-33.9258
pevek,-26.08,95,100,0.55,RU,1643669508,170.3133,69.7008
abnub,9.91,73,5,2.45,EG,1643669508,31.1511,27.2696
huarmey,23.1,78,94,4.27,PE,1643669509,-78.1522,-10.0681
puerto ayacucho,34.88,33,60,2.81,VE,1643669510,-67.6236,5.6639
lavrentiya,-18.01,83,56,5.21,RU,1643669511,-171.0,65.5833
omsukchan,-20.43,97,100,3.19,RU,1643669511,155.8,62.5333
codrington,17.03,70,61,8.58,AU,1643669512,141.9667,-38.2667
berlevag,-4.83,80,95,4.03,NO,1643669514,29.0864,70.8578
quatre cocos,26.72,76,41,11.19,MU,1643669515,57.7625,-20.2078
aykhal,-32.93,100,92,2.25,RU,1643669515,111.5,66.0
auki,28.44,74,99,1.25,SB,1643669516,160.7034,-8.7676
eravur,25.28,69,81,3.73,LK,1643669517,81.6095,7.7733
santa rosa,25.67,75,59,5.9,PH,1643669517,121.1114,14.3122
mastic beach,-4.09,57,0,1.34,US,1643669518,-72.8521,40.7668
port hedland,28.03,89,100,2.06,AU,1643669519,118.5667,-20.3167
horodnya,-3.29,93,97,5.76,UA,1643669520,31.5974,51.8909
wilmington,8.0,70,16,1.69,US,1643669395,-77.9447,34.2257
constitucion,18.07,63,0,5.64,CL,1643669521,-72.4167,-35.3333
belaya gora,-26.69,94,100,0.81,RU,1643669522,146.4167,68.5333
melbu,-2.25,75,100,2.29,NO,1643669523,14.8297,68.5044
conde,25.7,89,0,2.57,BR,1643669523,-34.9075,-7.2597
port elizabeth,23.16,94,100,4.63,ZA,1643669459,25.5701,-33.918
vagay,-22.17,100,89,1.27,RU,1643669525,69.0217,57.9375
tiksi,-23.75,99,100,2.98,RU,1643669304,128.8694,71.6872
george town,25.02,88,20,0.0,MY,1643669360,100.3354,5.4112
kruisfontein,21.6,95,100,2.05,ZA,1643669241,24.7314,-34.0033
saskylakh,-33.75,100,88,0.97,RU,1643669376,114.0833,71.9167
douentza,22.33,16,44,3.0,ML,1643669527,-2.9517,14.9951
muros,10.41,74,6,7.05,ES,1643669528,-9.0603,42.7762
portland,7.81,78,100,0.45,US,1643669307,-122.6762,45.5234
aklavik,-16.0,72,75,6.17,CA,1643669530,-135.0107,68.2191
itupiranga,22.34,95,99,0.84,BR,1643669530,-49.3267,-5.1347
faanui,27.47,72,5,8.55,PF,1643669531,-151.75,-16.4833
tukrah,12.85,79,61,8.43,LY,1643669532,20.5791,32.5341
marrakesh,16.04,48,16,2.57,MA,1643669533,-8.0083,31.6315
purpe,-15.18,96,100,3.4,RU,1643669534,76.6897,64.4803
vestmannaeyjar,5.42,78,100,14.43,IS,1643669535,-20.2734,63.4427
mar del plata,18.26,55,0,3.13,AR,1643669287,-57.5575,-38.0023
ornskoldsvik,-10.47,92,100,3.6,SE,1643669536,18.7153,63.2909
barrow,-25.99,76,0,5.14,US,1643669536,-156.7887,71.2906
ewa beach,25.75,56,0,4.02,US,1643669537,-158.0072,21.3156
victoria,12.99,91,99,0.45,HK,1643669402,114.1577,22.2855
ninh binh,11.65,79,100,3.3,VN,1643669538,105.975,20.2539
alice springs,24.75,83,100,6.69,AU,1643669462,133.8833,-23.7
port alfred,24.01,95,100,2.45,ZA,1643669540,26.891,-33.5906
bonito,26.73,59,85,3.34,BR,1643669540,-56.4819,-21.1211
longyearbyen,-11.09,67,40,2.57,SJ,1643669541,15.6401,78.2186
strezhevoy,-14.01,96,100,3.18,RU,1643669542,77.5889,60.7333
laela,14.84,96,100,1.63,TZ,1643669543,32.05,-8.5667
sao filipe,23.59,70,100,3.46,CV,1643669543,-24.4956,14.8961
florida,15.48,71,0,2.06,US,1643669337,-82.5001,28.7505
skjervoy,-0.52,54,100,5.16,NO,1643669544,20.9714,70.0311
sawang daen din,18.99,82,14,4.63,TH,1643669545,103.4575,17.4753
lasa,-0.17,95,93,3.18,IT,1643669546,10.7002,46.6166
ust-kulom,-19.93,100,99,1.56,RU,1643669547,53.6902,61.6864
porto seguro,27.29,83,20,3.6,BR,1643669547,-39.0647,-16.4497
tuktoyaktuk,-27.0,69,75,1.54,CA,1643669376,-133.0374,69.4541
ambilobe,23.28,94,92,0.39,MG,1643669549,49.05,-13.2
tessalit,18.8,12,59,4.37,ML,1643669549,1.0114,20.1986
aborlan,25.72,87,94,2.98,PH,1643669550,118.5492,9.4352
matara,22.66,90,8,3.85,LK,1643669551,80.5353,5.9485
catanduva,25.16,90,100,1.35,BR,1643669551,-48.9728,-21.1378
guerrero negro,19.54,44,5,5.15,MX,1643669565,-114.0611,27.9769
le vauclin,23.15,88,0,1.03,MQ,1643669566,-60.8388,14.5452
cheyenne,7.9,18,0,13.38,US,1643669567,-104.8203,41.14
dzerzhinsk,-0.1,86,75,3.0,RU,1643669568,43.4631,56.2389
yellowknife,-22.36,78,20,4.12,CA,1643669518,-114.3525,62.456
valdivia,22.05,57,0,1.65,CL,1643669311,-73.2459,-39.8142
anjiang,2.95,100,100,1.23,CN,1643669570,110.1031,27.3194
oranjemund,19.6,83,0,2.57,NA,1643669571,16.4333,-28.55
cherskiy,-23.89,92,100,2.03,RU,1643669571,161.3,68.75
san cristobal,25.1,73,78,1.36,VE,1643669572,-72.225,7.7669
faya,12.29,80,3,2.91,SA,1643669573,42.4509,18.3851
port keats,27.29,81,64,10.43,AU,1643669574,129.55,-14.25
bubaque,25.35,70,90,7.46,GW,1643669574,-15.8333,11.2833
garango,24.03,13,24,5.4,BF,1643669575,-0.5506,11.8
qasigiannguit,-18.48,85,100,4.38,GL,1643669576,-51.1922,68.8193
fairbanks,-26.29,73,0,0.0,US,1643669356,-147.7164,64.8378
mindif,19.52,16,4,4.06,CM,1643669577,14.4363,10.3976
havre-saint-pierre,-11.57,67,75,7.72,CA,1643669578,-63.5986,50.2334
izhma,-18.02,98,100,2.05,RU,1643669578,53.9113,65.0083
nouadhibou,19.99,73,100,4.63,MR,1643669579,-17.0347,20.931
samarai,28.75,69,100,5.6,PG,1643669580,150.6667,-10.6167
rio cuarto,23.87,53,0,5.66,AR,1643669581,-64.3499,-33.1307
pisco,23.03,68,0,8.75,PE,1643669581,-76.2167,-13.7
bilibino,-12.95,70,100,2.25,RU,1643669582,166.4372,68.0546
bandarbeyla,24.65,77,57,6.83,SO,1643669583,50.8122,9.4942
taltal,19.78,71,3,2.94,CL,1643669584,-70.4833,-25.4
saint-georges,26.82,78,20,8.23,GD,1643669585,-61.7485,12.0564
den helder,4.74,75,75,7.15,NL,1643669585,4.7593,52.9599
mitu,24.99,62,100,0.23,CO,1643669586,-70.1733,1.1983
tuy hoa,22.99,90,38,2.58,VN,1643669587,109.3,13.0833
paamiut,-5.93,85,100,7.97,GL,1643669588,-49.6678,61.994
yangambi,21.28,75,73,1.22,CD,1643669589,24.4336,0.8102
haapiti,27.62,74,6,8.81,PF,1643669589,-149.8667,-17.5667
samana,24.98,78,9,4.08,DO,1643669591,-69.3369,19.2056
sorong,26.97,74,91,7.27,ID,1643669591,131.25,-0.8833
lucapa,18.97,96,100,0.99,AO,1643669592,20.7447,-8.4192
achkhoy-martan,-0.58,79,99,2.12,RU,1643669593,45.28,43.19
tartagal,24.58,65,97,4.23,AR,1643669594,-63.8013,-22.5164
bintulu,22.73,100,40,1.34,MY,1643669595,113.0333,3.1667
qaanaaq,-30.33,51,0,4.57,GL,1643669596,-69.3632,77.484
kapustin yar,0.04,91,100,4.43,RU,1643669596,45.7372,48.5831
qeshm,16.93,71,0,3.18,IR,1643669597,56.2719,26.9581
kavaratti,26.76,73,1,4.9,IN,1643669598,72.642,10.5669
talnakh,-14.33,95,100,3.91,RU,1643669526,88.3972,69.4865
la rioja,2.88,96,100,5.06,ES,1643669600,-2.5,42.25
akhty,0.99,46,13,3.14,RU,1643669601,47.7312,41.4597
verkhoshizhemye,-6.06,95,100,4.53,RU,1643669602,49.1038,58.011
flinders,27.41,77,11,2.68,AU,1643669602,150.8552,-34.5833
sampit,23.06,95,100,0.66,ID,1643669603,112.95,-2.5333
harper,26.34,82,33,2.86,LR,1643669604,-7.7169,4.375
hammond,-0.85,68,0,1.79,US,1643669370,-87.5,41.5834
rawson,25.52,22,49,5.19,AR,1643669605,-65.1023,-43.3002
boffa,23.26,90,93,1.47,GN,1643669606,-14.0333,10.1667
san patricio,19.02,84,97,2.79,US,1643669607,-97.5169,28.017
karpogory,-15.36,96,100,2.33,RU,1643669607,44.4451,64.0019
cuamba,19.85,97,6,0.69,MZ,1643669608,36.5372,-14.8031
litovko,-29.69,100,98,0.86,RU,1643669609,135.1742,49.2361
zhadovka,-0.4,95,100,6.73,RU,1643669609,46.9498,53.5746
beyneu,0.97,80,5,7.58,KZ,1643669611,55.2,45.3167
gravdal,-0.82,66,100,4.48,NO,1643669611,13.5031,68.1214
coquimbo,19.85,72,40,4.63,CL,1643669596,-71.3436,-29.9533
menomonie,-1.55,64,100,4.63,US,1643669382,-91.9193,44.8755
